word,count
dance,44
direct,44
disposition,44
keeper,44
i’m,44
indifferent,44
echoed,44
habits,44
furnished,44
forgot,44
fortunes,44
girl's,44
song,44
singing,44
regularly,44
relation,44
sentence,44
ones,44
parish,44
proceeds,44
preserved,44
withdrew,44
thoughtfully,44
triumph,44
uncertain,44
value,44
doctor's,43
doubts,43
debt,43
closer,43
conference,43
artful,43
altered,43
answering,43
anger,43
behalf,43
capacity,43
charged,43
choose,43
gay,43
genuine,43
gratitude,43
handle,43
fellows,43
jolly,43
lincolnshire,43
lingering,43
lasted,43
losberne,43
marry,43
passengers,43
pie,43
original,43
midnight,43
sentiment,43
rolling,43
rises,43
size,43
spectacles,43
undertaker,43
threatening,43
succeeded,43
surgeon,43
wretch,43
youthful,43
capable,42
belong,42
beloved,42
bishop,42
bolter,42
affair,42
accounts,42
complaint,42
cleared,42
cook's,42
disgrace,42
dirt,42
lincoln's,42
level,42
hundreds,42
hungry,42
finish,42
folding,42
farther,42
elsewhere,42
eager,42
earnestly,42
driver,42
entering,42
height,42
gravely,42
grow,42
season,42
require,42
report,42
richard's,42
moustache,42
motion,42
national,42
principle,42
qualities,42
stationer,42
stiff,42
thoroughly,42
thirty,42
swear,42
tenderly,42
uneasiness,42
unexpected,42
violently,42
deny,41
doubtful,41
corners,41
correct,41
curtain,41
commission,41
composure,41
communicated,41
confidential,41
concerned,41
consequences,41
connexion,41
audible,41
brave,41
belonging,41
castle,41
christian,41
caution,41
grim,41
gates,41
fragments,41
dried,41
due,41
hit,41
la,41
lays,41
lot,41
lodger,41
match,41
provided,41
price,41
premises,41
powder,41
permission,41
named,41
mercury,41
orphan,41
orders,41
parents,41
pardiggle,41
nurse,41
reproach,41
respects,41
recollect,41
speaker,41
sounded,41
sixpence,41
silver,41
shops,41
wheels,41
treated,41
throughout,41
steam,41
suffer,41
subdued,41
study,41
worldly,41
yards,41
cares,40
calculated,40
bells,40
blowing,40
bred,40
backed,40
attentively,40
appetite,40
actually,40
contented,40
confided,40
command,40
collegians,40
de,40
dreary,40
delightful,40
destination,40
language,40
leisure,40
knocking,40
joke,40
invited,40
hole,40
increased,40
imagination,40
drive,40
fatal,40
fearful,40
faith,40
firmly,40
file,40
field,40
fork,40
formerly,40
follows,40
gridley,40
shawl,40
sole,40
respected,40
responsible,40
roll,40
ruined,40
rum,40
row,40
satisfactory,40
owe,40
misfortune,40
persuaded,40
poverty,40
prefer,40
process,40
promised,40
pursuing,40
wounded,40
suspicions,40
stepped,40
delicacy,39
desired,39
dreadfully,39
declare,39
declared,39
cost,39
convinced,39
crime,39
college,39
conducted,39
ada's,39
accomplished,39
arrangement,39
association,39
bold,39
bottles,39
changing,39
child's,39
grate,39
guardian's,39
highest,39
haunted,39
haste,39
fool,39
fifteen,39
fill,39
fashionable,39
easier,39
eddy,39
entertain,39
examined,39
instructions,39
mail,39
quarters,39
pretended,39
principal,39
parts,39
patronage,39
pocket-handkerchief,39
members,39
opinions,39
officers,39
rope,39
residence,39
recover,39
shutters,39
shutting,39
speaks,39
stops,39
subjects,39
task,39
tumbled,39
wherever,39
whispers,39
wealth,39
weeping,39
checked,38
brilliant,38
bitter,38
beforehand,38
arthur's,38
admired,38
agony,38
angrily,38
crossing,38
down-stairs,38
dragged,38
dined,38
intentions,38
interval,38
impatiently,38
impatience,38
impressed,38
improved,38
exact,38
dusty,38
fashion,38
families,38
famous,38
final,38
ferdinand,38
foolish,38
food,38
hate,38
guineas,38
government,38
ships,38
sleeve,38
recommend,38
reverend,38
score,38
mental,38
